OBJECTID,TIPO_VIA,SUBREGION,MUNICIPIO,NOMBRE_VIA,CODIGO_VIA,COMPETENTE,ORDEN,CONCESION,TRAMO_VIA,RUTA_VIA,INICIO,FIN,CENTRO_POBLADO,L_ODOMETRO,L_GPS,ANCHO_VIA,TIPOSUPERFICIE,ESTADO_SUPERFICIE,FUENTEINFO,PRODUCTO_PRINCIPAL,Shape__Length,GlobalID
145,2, , ,Variante Colmenas (La Ceja - La Unión - Abejorral),56AN05-1, ,Segundo Orden, , , ,Sector La Unión,Sector Santa Ines, ,15.5,14.9,5.875,0,0, , ,14717.660899584616,67a411e6-3941-497f-ad53-befc4bda4d93
147,2, , ,Partidas a San José de la Montaña - San Andrés de Cuerquia - Matanzas - Ituango,25AN11-1, ,Segundo Orden, , , ,Partidas a San José de la Montaña, Ituango, ,71.0,70.5,7.0,0,0, , ,71285.56919109712,dac6764b-2a3e-4776-a02c-22839956fea5
148,2, , ,La Ye - Remedios,62AN29-1-1, ,Segundo Orden, , , ,La Ye, Remedios, ,61.1,60.60892401,5.0,0,0, , ,61700.80851973444,60c4daf1-9a13-4b81-b161-012cad7bd6ad
149,2, , ,Entrerríos - Te a Labores - La Apartada - San José de La Montaña,62AN18-3, ,Tercer Orden, , , ,Entrerríos, San José de La Montaña, ,50.0,50.61783624,3.671487,0,0, , ,50017.072348463174,50563ace-8551-4bb4-b482-1d947a3fc5cd
150,2, , ,San José - La Eme,25BAN04-2-1, ,Tercer Orden, , , ,San José, La Eme, ,38.0,38.0,4.147249,0,0, , ,38256.61016617447,e2f0bae7-5b5d-4b42-912c-f9aa320d24b7
151,2, , ,Valparaíso - Caramanta - Puente Arquía,25AN01-3, ,Segundo Orden, , , ,Valparaíso,Puente Arquía, ,23.0,23.0,6.35,0,0, , ,22245.770720234374,61e3aa55-6479-452a-9a22-b935e5951838
152,2, , ,Santa Rosas de Osos (Ruta 25) - Puente Gavino,25AN08, ,Tercer Orden, , , ,Santa Rosas de Osos (Ruta 25), Puente Gavino, ,49.2,49.2,5.0,0,0, , ,48483.72742273389,ee05e587-3547-4716-9b0f-10a6752482bf
153,2, , ,Llanos de Cuivá (Ruta 25) - Partidas a San Jose de la Montaña - San Jose de La Montaña,25AN11, ,Segundo Orden, , , ,Llanos de Cuivá (Ruta 25), San Jose de La Montaña, ,30.3,30.4,7.013559,0,0, , ,30352.7639865119,d05f5e99-2d3d-4480-8b7a-82d9e8d3867a
154,2, , ,Cáceres - La Chilona,25AN15-1, ,Tercer Orden, , , ,Cáceres,La Chilona, ,86.6,86.5,5.0,0,0, , ,81664.71131383894,f711d226-57e6-437b-9473-d365c502dae4
155,2, , ,Cangrejo (Río Cauca) - Altamira,25BAN04, ,Tercer Orden, , , ,Cangrejo (Río Cauca), Altamira, ,22.5,22.2,3.1,0,0, , ,22024.207574071315,072bf97b-b177-470f-9545-998e8bb6f907
156,2, , ,Concordia- La Quiebra - Betulia,60AN06-1, ,Segundo Orden, , , ,Concordia, Betulia, ,24.5,23.9,6.042,0,0, , ,23733.204066199207,d53cd88c-7a90-4f21-abc5-b3bd0440e8fb
157,2, , ,El Peñol - Guatapé - El Bizcocho - San Rafael,60AN15-2, ,Segundo Orden, , , ,El Peñol, San Rafael, ,39.3,39.6,7.721519,0,0, , ,39342.08422130271,749e18d9-8ac7-467a-9793-08a4e324a955
158,2, , ,Frontino - Abriaquí,62AN10-2, ,Segundo Orden, , , ,Frontino,Abriaquí, ,26.3,25.96031602,5.981132,0,0, , ,25457.278909825374,dedf88e1-bde6-4c87-8acb-ea4938bc8384
159,2, , ,Puente Iglesias (Ruta 25B) - La Ye - Jericó,25BAN02-2, ,Segundo Orden, , , ,Puente Iglesias (Ruta 25),Jericó, ,18.6,18.7,3.636554,0,0, , ,18539.546782474714,cf225ed4-3282-4675-a5b2-253133b5f6c3
160,2, , ,La Ye - El Líbano,25BAN01-1, ,Tercer Orden, , , ,La Ye,El Líbano, ,14.3,15.1,4.102678,0,0, , ,14723.909214387486,e7766143-9108-412a-9afb-a337642c20c6
161,2, , ,Variante Pescadero,25AN11-1_1, ,Segundo Orden, , , ,Valle de Toledo,Pescadero, ,0.0,20.15,0.0,0,0, , ,20150.89661139594,e200e059-76ee-4170-8842-83d2ca8fe46e
162,2, , ,Variante San Andrés de Cuerquía,25AN11-1_2, ,Segundo Orden, , , ,km 23+700,km 24+900, ,0.0,1.24,0.0,0,0, , ,1249.5606912640217,2091cafc-ed7a-4797-a1e9-1d1ad69d7122
163,2, , ,Partidas de Zaragoza - Zaragoza,25AN17, ,Segundo Orden, , , ,Partidas de Zaragoza,Zaragoza., ,3.2,3.2,7.021803,0,0, , ,3146.4609475732436,3262e93e-c9c1-4e5b-add9-9cd6dfd924f0
